ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,Genre
14288,"Maas, Sarah J.",Empire of Storms,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Still in Process,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Assassins,Children's fiction,Court,Fantasy,Fantasy fiction,Fiction,High Fantasy,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Fantasy & Magic,JUVENILE FICTION / Love & Romance,Juvenile fiction,Kings, queens, rulers,Kings, queens, rulers, etc., fiction,Love,Love, fiction,Magic,Queens,Quest,Romance,Royalty,YA,[series:Throne_of_Glass],collectionID:EanesChallenge"
14289,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Still in Process,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
14290,"Hopkins, Ellen",Burned (EH),,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Still in Process,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,Unknown
14291,"Ginsberg, Allen",Allen Ginsburg Collected Poems 1947-1980,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Still in Process,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,Unknown
14292,"Cast, P. C.",Chosen,House of Night,"Cast, Kristin",,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Still in Process,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Children's fiction,Children: Grades 4-6,Fantasy fiction,Fiction,Large type books,New York Times bestseller,Occultism, fiction,Vampires,Vampires, fiction,Zoey Redbird (Fictitious character),nyt:series_books=2009-05-30"
14293,"Sebold, Alice",The Almost Moon,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Still in Process,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Divorced people, fiction,Fiction, family life,Fiction, family life, general,Fiction, psychological,Mothers and daughters, fiction"
14294,"Frank, E. R.",Life is Funny,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Banned/Removed,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Children's fiction,Family life, fiction,Family problems,Family, fiction,Fiction,Interpersonal relations,Interpersonal relations, fiction"
14295,"Aciman, André",Call Me By Your Name,Call Me By Your Name,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Banned/Removed,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Adolescents homosexuel,Authors,Authors, fiction,Boys and men,Coming of age,Fear,Fiction,Fiction, coming of age,Fiction, gay,Fiction, lgbtq+, gay,Fiction, romance, contemporary,Garcons adolescents,Gay men, fiction,Gay teenagers,Italy,Italy, fiction,LGBT,LGBTQ novels,Lambda Literary Award Winner,Lambda Literary Awards,Love,New York Times bestseller,Romance,Romans, nouvelles,Summer,Teenage boys,cmbyn,gay,northern Italy,nyt:trade-fiction-paperback=2018-01-21,teen romance"
14296,"Green, Katie",Lighter than My Shadow,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Banned/Removed,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Child abuse,Child abuse -- Comic books, strips, etc,Comic books, strips,Comics & graphic novels, general,Eating disorders,Eating disorders -- Family relationships -- Comic books, strips, etc,Eating disorders -- Patients -- Comic books, strips, etc,Eating disorders -- Rehabilitation -- Comic books, strips, etc,Family relationships,Green, Katie (Illustrator) -- Comic books, strips, etc,Patients,Rehabilitation"
14297,"Lyga, Barry",Boy Toy,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Banned/Removed,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Baseball,Baseball stories,Baseball, fiction,Child sexual abuse, fiction,Children's fiction,Emotional problems,Emotional problems of teenagers,Emotions, fiction,Fiction,High schools,Juvenile fiction,Memory,New York Times reviewed,Psychotherapy,Schools,Schools, fiction,Sexual abuse,Sexual abuse victims"
14298,"Foley, Jessie Ann",The Carnival at Bray,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Banned/Removed,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"Bildungsromans,Fiction,Fiction, general,Juvenile fiction,Teenage girls,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge"
14299,"Lo, Malinda",Last Night at the Telegraph Club,,,,Unclear,Affiliation Unknown,Off Shelves,Manatee Reporting website,Banned/Removed,,,School,Fall,2023,FL,School District of Manatee County,,Manatee,,,,,02/14/2023,,https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf,,,,"New York Times bestseller,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-paperback-monthly=2022-02-06"
14300,"Kaur, Rupi",Milk and Honey,,,,Formal,Affiliation Unknown,On shelves,UPDATE: Challenger did not meet requirements for challenge. challenged for sexual content,No Action,,,School,12,2023,FL,Alachua County Public Schools,,Alachua,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview,https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves,,,,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01"
14301,"Sebold, Alice",The Almost Moon,,,,Formal,Affiliation Unknown,On shelves,,Banned/Removed,,,School,12,2023,FL,Alachua County Public Schools,,Alachua,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview,https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves,,,,"Divorced people, fiction,Fiction, family life,Fiction, family life, general,Fiction, psychological,Mothers and daughters, fiction"
14302,"Lukoff, Kyle",When Aidan Became a Brother,,,"Juanita, Kaylani",Formal,Affiliation Unknown,On shelves,All levels so far - recommended retain - challenged to board,Still in Process,,,School,12,2023,FL,Alachua County Public Schools,,Alachua,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview,https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves,,,,"Brothers,Fiction,Juvenile fiction,LGBTQ gender identity,LGBTQ picture books,Parent and child,Stonewall Book Awards,Transgender people"
14303,"Gino, Alex","You Don’t Know Everything, Jilly P!",,,,Formal,Affiliation Unknown,On shelves,1/2024: District Review - RETAIN. Challenged to board.,Still in Process,,,School,12,2023,FL,Alachua County Public Schools,,Alachua,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview,https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves,,,05/01/2024,"African American children,Children's fiction,Deaf,Deaf infants,Disabilities,Disabled persons,Families,Fantasy fiction,Fiction,Friendship,Juvenile fiction,Online chat groups,Race relations,Readers,Sisters"
14304,"Silverman, Erica",Jack (Not Jackie),,,,Formal,Affiliation Unknown,On shelves,District - REMAIN.,Retained,,,School,1,2024,FL,Alachua County Public Schools,,Alachua,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview,https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves,,,05/01/2024,"Brothers and sisters,Brothers and sisters, fiction,Children's fiction,Families,Family life, fiction,Juvenile fiction,Transgender children"
