Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Delpit, Lisa","""Multiplication Is for White People"": Raising Expectations for Other People's Children",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ukazu, Ngozi",#Hockey,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,November 2022,Informal Challenge,"Check, Please!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ukazu, Ngozi",#Hockey,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Check, Please!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,December 2021,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"McNeil, Gretchen",#MurderTrending (MurderTrending Series),Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Mac, Carrie",10 Things I Can See from Here,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anxiety disorders,Fathers and daughters,Fathers and daughters, fiction,Fiction,Fiction, general,Lesbians,Lesbians, fiction,Romance fiction"
"Mac, Carrie",10 Things I Can See from Here,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anxiety disorders,Fathers and daughters,Fathers and daughters, fiction,Fiction,Fiction, general,Lesbians,Lesbians, fiction,Romance fiction"
"Mac, Carrie",10 Things I Can See from Here,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,June 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anxiety disorders,Fathers and daughters,Fathers and daughters, fiction,Fiction,Fiction, general,Lesbians,Lesbians, fiction,Romance fiction"
"Ewert, Marcus","10,000 Dresses",Banned from Libraries,,"Ray, Rex",,Florida,Seminole County Public Schools,July 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Clothing and dress, fiction,Dreams, fiction,Fiction,Friendship, fiction,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people"
"Ewert, Marcus","10,000 Dresses",Banned Pending Investigation,,"Ray, Rex",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Clothing and dress, fiction,Dreams, fiction,Fiction,Friendship, fiction,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people"
"Ewert, Marcus","10,000 Dresses",Banned Pending Investigation,,"Ray, Rex",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Clothing and dress, fiction,Dreams, fiction,Fiction,Friendship, fiction,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people"
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health",Banned Pending Investigation,"Armstrong, Nancy",,,Texas,Klein Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comics & graphic novels, manga, general"
"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,Banned from Libraries,,,,Utah,Washington County School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Brynie, Faith Hickman","101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's questions and answers,Questions and answers,Sex,Sex instruction,Sex instruction for children and youth,Sex instruction for youth,Sex, juvenile literature,Sexual behavior,Youth"
"King, Stephen",11/22/63: A Novel,Banned from Libraries and Classrooms,,,,Virginia,Madison County Public Schools,January 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Heine, Florian",13 Art Inventions Children Show Know,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,13... Children Should Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Deedy, Carmen Agra",14 Cows for America,Banned Pending Investigation,"Naiyomah, Wilson Kimeli","Gonzalez, Thomas",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attentats du 11 septembre 2001, États-Unis,Biographies,Biography,Cadeaux,Cattle,Cows,Cows, juvenile literature,Gifts,International relations,Juvenile literature,Kenya,Kenya, juvenile literature,Maasai (African people),Masai (African people),Masai (african people),Massaï (Peuple d'Afrique),New York Times bestseller,New York Times reviewed,Ouvrages pour la jeunesse,Relations,September 11 Terrorist Attacks, 2001,September 11 terrorist attacks, 2001,September 11 terrorist attacks, 2001, juvenile literature,United states, foreign relations,Vaches,nyt:picture-books=2009-11-29"
"Levithan, David",19 Love Songs,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Young adult fiction, holidays & celebrations,Young adult fiction, romance, lgbtq+,Young adult fiction, short stories, collections & anthologies"
"Levithan, David",19 Love Songs,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Young adult fiction, holidays & celebrations,Young adult fiction, romance, lgbtq+,Young adult fiction, short stories, collections & anthologies"
"Orwell, George",1984,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Dystopias,English language,English language, juvenile literature,Fiction,Fiction, dystopian,Fiction, political,Fiction, science fiction, general,High interest-low vocabulary books,Lectures et morceaux choisis,London (england), fiction,Readers,Readers for new literates,Textbooks for foreign speakers,Totalitarianism,Totalitarianism -- Fiction"
"Orwell, George",1984,Banned from Libraries,,,,Texas,Frisco Independent School District,January 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Dystopias,English language,English language, juvenile literature,Fiction,Fiction, dystopian,Fiction, political,Fiction, science fiction, general,High interest-low vocabulary books,Lectures et morceaux choisis,London (england), fiction,Readers,Readers for new literates,Textbooks for foreign speakers,Totalitarianism,Totalitarianism -- Fiction"
"Orwell, George",1984: The Graphic Novel,Banned Pending Investigation,,"Nesti, Fido",,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dystopian,Ingsoc,Newspeak,Orwell, george, 1903-1950,thoughtcrime"
"Orwell, George",1984: The Graphic Novel,Banned from Libraries and Classrooms,,"Nesti, Fido",,Missouri,Kirkwood School District,October 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dystopian,Ingsoc,Newspeak,Orwell, george, 1903-1950,thoughtcrime"
"Verne, Jules","20,000 Leagues Under the Sea (Graphic Novel)",Banned from Libraries,"Bowen, Carl","Ruiz, Jose Alfonso",,Texas,Frisco Independent School District,September 2022,Administration,Graphic Revolve: Common Core Editions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Lassieur, Allison",25 Women Who Dared to Go,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Women, biography,Women, biography, juvenile literature"
"Sherman, Jill",25 Women Who Fought Back,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Civil rights,Civil rights, juvenile literature,Human rights,Human rights, juvenile literature,Women's rights,Women, political activity"
"Stanborough, Rebecca J.",25 Women Who Ruled,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Women athletes,Women, biography,Women, biography, juvenile literature"
"Sherman, Jill",25 Women Who Thought of It First,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Women, biography,Women, biography, juvenile literature"
"Rapp, Adam",33 Snowfish,Banned from Libraries and Classrooms,,"Ering, Timothy Basil",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Rapp, Adam",33 Snowfish,Banned from Libraries and Classrooms,,"Ering, Timothy Basil",,Florida,Martin County Schools,March 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Rapp, Adam",33 Snowfish,Banned in Libraries and Classrooms,,"Ering, Timothy Basil",,Idaho,Nampa School District,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
