ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
,"Adams, Carmen",The Band,,,,Challenged,Unknown,Unknown,Unknown,Retained,,,School,May,1998,IA,Cedar Rapids Community School District,Cedar Rapids,,Madison Elementary School,,,,1999,,,,,1999
,"Adler, David",I Know I'm a Witch,,,,Challenged,Parent/Gardian,Unknown,"Despite a parent's compaint that the material gives children the impression that witchcraft is ""fun and harmless.""",Retained,,,School,May,1998,IL,Central CUSD 301,Elgin,,Prairieview Elementary School,,,,1999,,,,,1999
,"Alderman, Ellen",In Our Defense: The Bill of Rights in Action,,,,Challenged,Teacher,Unknown,Despite two social studies techer's objections of violence in one chapter and explicit sexual details in another,Retained,,,School,March,1999,WI,,Wisconsin Rapids,,Wisconsin High School,,,,1999,,,,,1999
,"Allard, Harry",The Stupid Die,,,,Banned,Unknown,Unknown,"Complaints children shouldn't refer to anyone as ""stupid""",Pulled,,,Public,Septmeber,1998,MI,,Zeeland,,,Howard Miller Library,,,1999,,,,,1999
,"Allende, Isabel",The House of the Spirits,,,,Challenged,Unknown,Unknown,Challenged as obscene on reading lists and school library shelves,Pulled,,,School,May,1998,MD,Montgomery County,Montgomery County,,,,,,1999,,,,,1999
*,"Angelou, Maya",I Know Why the Cagged Bird Sings,,,,Banned,Unknown,Unknown,Banned because of a passage in which Angelou tells of being molested and raped as an eight-year-old,Pulled,,,School,May,1998,FL,,Brooksville,,Dolores Parrott Middle School,,,,1999,,,,,1999
,Anonymous,Go Ask Alice,,,,Challenged,Principal,Unknown,Confiscated by a Tiverton middle school principal while the class was reading it. The book was later returned by the school board,Returned,,,School,Septmeber,1998,RI,,Tiverton,,Tiverton Middle School,,,,1999,,,,,1999
,"Atwood, Margaret",The Handmaid's Tale,,,,Challenged ,Unknown,Unknown,"Challenged for use in the English classes because the ""books are poor-quality literature and stress suicide, illicit sex, violence, and hopelessness""",Pulled,,,School,March,1999,WA,,Richland,,Richland Washinton High School,,,,1999,,,,,1999
,"Baldwin, James",Go Tell It on the Mountain,,,,Challenged,Unknown,Unknown,"Challenged as ninth-grade summer reading option because book ""was rife with profanity and explicit sex""",Pulled,,,School,November,1998,VA,,,Prince William County,,,,,1999,,,,,1999
,Bandville John,The Untouchable,,,,Removed,Unknown,Off Shelves,Removed because of references to sexual relations between men and boys,Removed,,,Public,May,1998,CT,,Bristol,,,Connecticut Public Library,,,1999,,,,,1999
,"Bishop, Claire H",The Five Chinese Brothers,,,,Challenged,Parent,Unknown,Despite a parent's protest that it contains descriptions of violent plot to execute five brothers,Retained,,,School,March,1999,CA,Coltin School District,,Colton,Colton School District,,,,1999,,,,,1999
,"Block, Francesca",Baby Be-Bop,,,,Banned,Unknown,Unknown,Removed because of the book's use of vulgar lanfuage and sexually explicit passages,Pulled,,,School,january,1998,WI,Wisconsin School District,Barron,,Barron Wisconsin School District,,,,1999,,,,,1999
,"Blume, Judy",Blubber,,,,Banned,Unknown,Unknown,"Banned because of objections to teo instances of the word ""damn"" and one of ""bitch"" in the novel ",Banned,,,School,March,1998,AL,,Athens,,Clements High School,,,,1999,,,,,1999
,Unknown,It's Not the End of the World,,,,Restricted,Unknown,Unknown,Restricted to fourth- and fifth-graders due to concerns about profanity. ,Restricted,,,School,May,1998,GA,,,Gwinnet ,Britt Elementary School,,,,1999,,,,,1999
,"Bradbury, Ray",The Martian Chronicles,,,,Banned,Unknown,Unknown,"Pulled and replaced with a nwer version becuase a chapter contains the words ""the n***ers are coming."" The new abridged edition of the book omits the inflammatiory story, titled ""Way Up in the Air""",Pulled,,,School,May,1998,NJ,,Edison,,Herbert Hoover Middle School,,,,1999,,,,,1999
