Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Delpit, Lisa","""Multiplication Is for White People"": Raising Expectations for Other People's Children",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,Unknown,Unknown,,,,,,"[41.2033, -77.1945]"
"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Ukazu, Ngozi",#Hockey,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,November 2022,Informal Challenge,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Ukazu, Ngozi",#Hockey,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,December 2021,Formal Challenge,Unknown,Unknown,,,,,,"[33.749, -84.388]"
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,Unknown,Unknown,,,,,,"[35.5175, -86.5804]"
"McNeil, Gretchen",#MurderTrending (MurderTrending Series),Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,Unknown,Unknown,,,,,,"[38.4937, -98.3804]"
"Mac, Carrie",10 Things I Can See from Here,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Anxiety disorders,Fathers and daughters,Fathers and daughters, fiction,Fiction,Fiction, general,Lesbians,Lesbians, fiction,Romance fiction",Anxiety disorders,Fathers and daughters, fiction,Fiction, general,"Lesbians,Romance fiction","[31.9686, -99.9018]"
"Mac, Carrie",10 Things I Can See from Here,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"Anxiety disorders,Fathers and daughters,Fathers and daughters, fiction,Fiction,Fiction, general,Lesbians,Lesbians, fiction,Romance fiction",Anxiety disorders,Fathers and daughters, fiction,Fiction, general,"Lesbians,Romance fiction","[35.5175, -86.5804]"
"Mac, Carrie",10 Things I Can See from Here,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,June 2023,Formal Challenge,"Anxiety disorders,Fathers and daughters,Fathers and daughters, fiction,Fiction,Fiction, general,Lesbians,Lesbians, fiction,Romance fiction",Anxiety disorders,Fathers and daughters, fiction,Fiction, general,"Lesbians,Romance fiction","[27.9944, -81.7603]"
"Ewert, Marcus","10,000 Dresses",Banned from Libraries,,"Ray, Rex",,Florida,Seminole County Public Schools,July 2022,Formal Challenge,"Children's fiction,Clothing and dress, fiction,Dreams, fiction,Fiction,Friendship, fiction,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people",Children's fiction,Clothing and dress, fiction,Dreams,Fiction,"Friendship,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people","[27.9944, -81.7603]"
"Ewert, Marcus","10,000 Dresses",Banned Pending Investigation,,"Ray, Rex",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Children's fiction,Clothing and dress, fiction,Dreams, fiction,Fiction,Friendship, fiction,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people",Children's fiction,Clothing and dress, fiction,Dreams,Fiction,"Friendship,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people","[27.9944, -81.7603]"
"Ewert, Marcus","10,000 Dresses",Banned Pending Investigation,,"Ray, Rex",,Florida,Duval County Public Schools,January 2022,Administrator,"Children's fiction,Clothing and dress, fiction,Dreams, fiction,Fiction,Friendship, fiction,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people",Children's fiction,Clothing and dress, fiction,Dreams,Fiction,"Friendship,Identity,Identity (Philosophical concept),Identity (Psychology),Interpersonal relations,Juvenile fiction,LGBTQ picture books,Self-perception,Stonewall Book Awards,Transgender people","[27.9944, -81.7603]"
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health",Banned Pending Investigation,"Armstrong, Nancy",,,Texas,Klein Independent School District,December 2021,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
